pos,row,col,slope2d,slope3d,aspect2d,aspect3d,global2d,global3d,beam2d,beam3d,dif2d,dif3d,ref2d,ref3d,percentageShaded,percentageShaded3d
"[-2609.041828,-9538.202087,8.499013]",3931,3861,0.922962,2.267304,352.227722,113.282022,53041.136719,53998.363281,31676.054688,32633.281250,21365.080078,21365.080078,0.000000,0.000000,0.741270,0.723810,
"[-3336.958377,-8821.432664,18.751796]",1064,949,1.466717,4.082240,167.480453,103.870027,95835.937500,95584.460938,74470.851563,74219.382813,21365.080078,21365.080078,0.000000,0.000000,0.257143,0.269841,
"[-3323.192427,-8976.126262,21.661676]",1683,1004,1.395893,2.204319,28.980553,87.761753,88690.304688,88436.367188,67325.234375,67071.289063,21365.080078,21365.080078,0.000000,0.000000,0.392063,0.403175,
"[-2900.510627,-8702.688514,20.435974]",589,2695,3.870276,3.196652,87.758911,105.821084,84860.460938,87458.210938,63495.386719,66093.132813,21365.080078,21365.080078,0.000000,0.000000,0.280952,0.261905,
"[-3416.297252,-9316.855726,15.141416]",3046,632,3.213434,1.675923,250.394226,151.421033,80972.078125,80670.843750,59607.000000,59305.761719,21365.080078,21365.080078,0.000000,0.000000,0.460317,0.465079,
"[-3109.115125,-9346.213880,13.363907]",3163,1860,1.916583,1.018720,218.379669,281.927369,93928.695313,94142.039063,72563.617188,72776.953125,21365.080078,21365.080078,0.000000,0.000000,0.314286,0.311111,
"[-3155.650749,-8776.638779,20.805856]",885,1674,1.813380,4.936561,76.435928,282.679593,84859.773438,84954.960938,63494.691406,63589.878906,21365.080078,21365.080078,0.000000,0.000000,0.415873,0.425397,
"[-2621.867664,-8877.223247,15.716904]",1287,3809,1.079042,3.865397,65.726753,188.784546,84164.906250,85798.546875,62799.816406,64433.468750,21365.080078,21365.080078,0.000000,0.000000,0.452381,0.434921,
"[-2872.743699,-9249.799414,22.099004]",2778,2806,0.474820,1.282305,166.253204,148.566996,62704.273438,62440.265625,41339.195313,41075.179688,21365.080078,21365.080078,0.000000,0.000000,0.571429,0.571429,
"[-3462.564272,-8820.760083,17.402666]",1062,447,1.428869,4.586782,18.275621,191.876964,64158.777344,77463.421875,42793.699219,56098.335938,21365.080078,21365.080078,0.000000,0.000000,0.561905,0.455556,
